model,template,floor,sigma_MF,eta_quad,eta_var2_best,eta_var_best,eta_lin,bound,f_s,xi
T0_ANISO,compact,0.0,0.3374466511653068,,1.0369946956634521,1.0656912326812744,1.0656912326812744,,,
T0_ANISO,extended,0.0,0.8093073295081356,,1.0010398626327515,1.082131028175354,1.082131028175354,,,
T0_RED_REAL,compact,1.0,12.181291668741302,,1.064401388168335,0.9659581184387207,0.9659581184387207,,,
T0_RED_REAL,extended,1.0,0.8536554270199483,,1.0218634605407715,0.9905582666397095,0.9905582666397095,,,
T0_RED,compact,0.0,0.32395762510258175,,0.944473147392273,1.0419546365737915,1.0419546365737915,,,
T0_RED,extended,0.0,0.74216399508373,,1.0131367444992065,0.9632303714752197,0.9632303714752197,,,
T0_WHITE,compact,0.0,7.598081327954563,,0.9782332181930542,1.0149362087249756,1.0149362087249756,,,
T0_WHITE,extended,0.0,0.12418215540132231,,0.946648120880127,0.9812051057815552,0.9812051057815552,,,
T1_PSRAND_AMP,compact,0.0,0.3148089198311826,1.1282872408368163,,,,,,
T1_PSRAND_AMP,extended,0.0,0.765613249322245,1.1384177071754267,,,,,,
T1_PSRAND_SLOPE_WN,compact,0.27,7.042760586595286,1.6829661768195459,,,,,,
T1_PSRAND_SLOPE_WN,extended,0.27,1.3267887587931635,7.759773520196478,,,,,,
T1_PSRAND_SLOPE,compact,0.0,0.38516630796784784,1.5594141726204047,,,,,,
T1_PSRAND_SLOPE,extended,0.0,1.3343650759410068,12.692579359170228,,,,,,
T1_PSRAND_WN,compact,0.27,7.056991198051211,1.7868208554300682,1.444636583328247,,,,,
T1_PSRAND_WN,extended,0.27,1.205292307619841,10.175483049373646,7.1187591552734375,,,,,
T1_PSRAND,compact,0.0,0.3898149596667393,1.597180130079462,1.4590078592300415,0.9982050061225891,0.9982050061225891,,,
T1_PSRAND,extended,0.0,1.3757586358066662,11.201834649840933,4.635421276092529,0.9283774495124817,0.9283774495124817,,,
T1_RANDOR_WN,compact,1.04,14.859757960373823,1.2049147483597853,1.025550127029419,,,,,
T1_RANDOR_WN,extended,1.04,1.0331938430799608,1.2459786395386987,0.9243912100791931,,,,,
T1_RANDOR,compact,0.0,1.2616162518963274,9.638493072180239,6.449565887451172,0.8946059346199036,0.8946059346199036,,,
T1_RANDOR,extended,0.0,0.9263478585866061,1.2764076999358547,1.079179286956787,0.9722020626068115,0.9722020626068115,,,
T2_CONFUSION_ATM,compact,0.0,52.10503734946065,,3.1202516555786133,,,4.969772538536965,0.7980289130346747,0.8727252478484875
T2_CONFUSION_ATM,extended,0.0,6.211494652122893,,3.277190923690796,,,4.980434990952353,0.7998297619908454,0.8727252478484875
T2_CONFUSION_WN,compact,3.2244097349820913,170.6755774900764,,2.4481699466705322,,,41.71601241321738,0.8066329111204986,0.3094348379100732
T2_CONFUSION_WN,extended,3.2244097349820913,5.857502785847193,,3.783085584640503,,,199.88407615661325,0.9686300168806239,0.3094348379100732
T2_CONFUSION,compact,0.0,47.665125254995836,,0.9909239411354065,,,,0.9763511858710935,0.97793566571517
T2_CONFUSION,extended,0.0,5.642314511052574,,91.3704833984375,,,,0.968642743842046,0.97793566571517
T2_CROSS_POS_WN,compact,0.48,7.967798408266014,,1.0155330896377563,,,1.0117735595616968,0.05110651619957345,4.374934673309326
T2_CROSS_POS_WN,extended,0.48,0.7992562912120108,,0.9960825443267822,,,1.0083729036267624,0.058013173347064614,4.374934673309326
T2_CROSS_POS,compact,0.0,0.36227127432889045,,0.9932140111923218,0.9532535672187805,0.9532535672187805,4.41479909155252,0.017418002930956404,20.0284481048584
T2_CROSS_POS,extended,0.0,0.7517988968357125,,1.0052815675735474,0.9235539436340332,0.9235539436340332,1.0117497378927562,0.009712198720297223,20.0284481048584
T2_CROSS_SYM_WN,compact,0.51,8.648161154930857,,0.9940071702003479,,,1.0882075054482132,0.055558225392373234,3.281313419342041
T2_CROSS_SYM_WN,extended,0.51,0.8190865677157587,,1.008105754852295,,,1.0604586924176338,0.04900567252910126,3.281313419342041
T2_CROSS_SYM,compact,0.0,0.3751053821767369,,0.9560684561729431,0.9759174585342407,0.9759174585342407,4.578443842551921,0.007796078708843718,15.339860916137695
T2_CROSS_SYM,extended,0.0,0.7687415978664172,,1.0109004974365234,1.0112864971160889,1.0112864971160889,1.0692780113911577,0.05732163604412496,15.339860916137695
T2_GLITCH_WN,compact,0.86,12.760674034740559,,0.92913818359375,,,1.0480107771358356,0.04170741379578188,1.357589602470398
T2_GLITCH_WN,extended,0.86,0.9396347266786529,,0.9649495482444763,,,1.0386075802749621,0.03306713111510397,1.357589602470398
T2_GLITCH,compact,0.0,2.0183498976621816,,1.2184526920318604,1.6546295881271362,1.6546295881271362,144.13913351541825,0.5081672139138049,20.422012329101562
T2_GLITCH,extended,0.0,0.8519421618839262,,0.9637188911437988,1.024336576461792,1.024336576461792,1.0633044615057228,0.06043335691443889,20.422012329101562
T2_MEDIAN_WN,compact,1.06,13.305208736338805,,1.0249696969985962,,,,,
T2_MEDIAN_WN,extended,1.06,0.6702122804088343,,1.2855689525604248,,,,,
T2_MEDIAN,compact,0.0,0.34344733808406674,,0.9718113541603088,0.9610686898231506,0.9610686898231506,,,
T2_MEDIAN,extended,0.0,0.7722556605588108,,0.9975096583366394,1.0239031314849854,1.0239031314849854,,,
T2_PCA_WN,compact,0.1,4.317152657401608,,0.9962502717971802,,,1.332066637097706,0.07803626273475811,16.899871826171875
T2_PCA_WN,extended,0.1,1.6803534347671811,,1.654859185218811,,,4.902590366318425,0.503782880796312,16.899871826171875
T2_PCA,compact,0.0,0.3484122239279261,,0.9407954216003418,0.7853518724441528,0.7853518724441528,3.8705683062647442,0.07018970256983664,49.30832290649414
T2_PCA,extended,0.0,1.797376090391944,,1.6305351257324219,0.2598837614059448,0.2598837614059448,4.957665546508246,0.3971121237648422,49.30832290649414
